_time,label,cycle_id
2023-12-12 14:48:33.541,Normal,5_236
2023-12-12 08:40:50.748,Normal,5_162
2023-12-12 16:00:47.064,Normal,5_250
2023-12-12 05:14:13.539,Normal,5_120
2023-12-12 05:10:24.747,Normal,5_120
2023-12-12 09:13:14.152,Normal,5_168
2023-12-12 15:02:25.244,Normal,5_239
2023-12-12 15:26:39.250,Normal,5_243
2023-12-11 14:30:06.722,Normal,2_1
2023-12-11 15:17:33.743,Normal,2_11
2023-12-12 05:48:02.039,Normal,5_127
2023-12-12 11:42:45.146,Normal,5_198
2023-12-12 13:34:48.747,Normal,5_221
2023-12-12 04:56:22.049,Normal,5_117
2023-12-12 12:46:51.142,Normal,5_211
2023-12-12 16:00:53.740,Normal,5_250
2023-12-12 13:14:32.439,Normal,5_217
2023-12-12 08:23:11.443,Normal,5_158
2023-12-12 09:22:21.002,Normal,5_170
2023-12-11 15:29:19.152,Normal,2_13
2023-12-12 09:54:48.352,Normal,5_176
2023-12-12 06:11:17.061,Normal,5_132
2023-12-12 15:56:26.440,Normal,5_249
2023-12-12 14:14:12.656,Normal,5_229
2023-12-12 13:50:34.343,Normal,5_224
2023-12-12 08:04:11.480,Normal,5_154
2023-12-12 14:49:30.351,Normal,5_236
2023-12-11 14:50:47.944,Normal,2_5
2023-12-12 06:31:26.345,Normal,5_136
2023-12-12 13:28:33.849,Normal,5_220
2023-12-12 12:43:56.649,Normal,5_211
2023-12-12 10:43:07.858,Normal,5_186
2023-12-12 12:24:20.529,Normal,5_207
2023-12-12 12:41:14.161,Normal,5_210
2023-12-12 15:24:05.356,Normal,5_242
2023-12-11 14:46:52.850,Normal,2_4
2023-12-12 13:34:31.538,Normal,5_221
2023-12-11 15:35:34.448,Normal,2_14
2023-12-12 05:10:47.035,Normal,5_120
2023-12-12 12:02:05.140,Normal,5_202
2023-12-12 08:14:57.187,Normal,5_157
2023-12-12 05:01:05.947,Normal,5_118
2023-12-12 07:30:40.876,Normal,5_148
2023-12-12 16:07:05.736,Normal,5_251
2023-12-12 15:41:09.148,Normal,5_246
2023-12-12 16:05:36.744,Normal,5_251
2023-12-12 05:49:10.444,Normal,5_127
2023-12-12 14:21:20.241,Normal,5_230
2023-12-12 07:02:26.252,Normal,5_142
2023-12-12 06:04:38.252,Normal,5_130
2023-12-12 07:31:09.240,Normal,5_148
2023-12-12 16:12:34.048,Normal,5_252
2023-12-12 06:44:52.943,Normal,5_138
2023-12-11 15:00:06.052,Normal,2_7
2023-12-12 08:56:14.754,Normal,5_165
2023-12-12 05:12:56.845,Normal,5_120
2023-12-11 14:02:43.736,Normal,1_3
2023-12-12 07:03:50.896,Normal,5_142
2023-12-12 06:17:53.358,Normal,5_133
2023-12-11 13:12:42.749,Normal,0_2
2023-12-11 14:51:36.553,Normal,2_5
2023-12-12 09:11:18.456,Normal,5_168
2023-12-12 10:40:54.821,Normal,5_186
2023-12-12 08:03:37.438,Normal,5_154
2023-12-12 08:58:01.152,Normal,5_165
2023-12-12 08:31:55.043,Normal,5_160
2023-12-12 15:00:16.484,Normal,5_238
2023-12-12 11:14:55.252,Normal,5_193
2023-12-12 12:16:14.138,Normal,5_205
2023-12-12 12:36:20.838,Normal,5_209
2023-12-12 06:50:40.843,Normal,5_140
2023-12-12 15:41:02.254,Normal,5_246
2023-12-12 08:57:46.348,Normal,5_165
2023-12-12 08:29:30.036,Normal,5_159
2023-12-12 07:24:03.545,Normal,5_146
